,SRR_id,tissue_name,STAR_mapping_rate [%],SRR_filesize_bytes,fastq_filesize_bytes,bam_filesize_bytes,index_release,n_spots,nproc,instance_type,library_layout,instance_id,execution_mode,s3_path,prefetch_start_time,prefetch_end_time,fasterq_dump_start_time,fasterq_dump_end_time,star_start_time,star_end_time,deseq2_star_start_time,deseq2_star_end_time,EBS_Iops,EBS_Size,EBS_Throughput,EBS_VolumeType,pipeline_end_time,pipeline_type,pipeline_start_time
21,SRR8981819,fibroblasts,78.69,6421228614,37875218184,8479503941,111,49432431,8,r8g.2xlarge,paired,i-0036a48f1048268fe,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/fibroblasts/normalized_counts/SRR8981819_STAR_normalized_counts.tsv,2025-01-24T10:56:22,2025-01-24T10:59:11,2025-01-24T10:59:11,2025-01-24T11:02:08,2025-01-24T11:02:08,2025-01-24T11:16:41,2025-01-24T11:16:41,2025-01-24T11:16:47,3000,550,500,gp3,2025-01-24T11:16:47,STAR,2025-01-24T10:56:22
22,ERR5769920,fibroblasts,75.6,1582690562,10595385740,3246839244,111,15994423,8,r8g.2xlarge,paired,i-04d59139be7085dad,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/fibroblasts/normalized_counts/ERR5769920_STAR_normalized_counts.tsv,2025-01-24T10:39:34,2025-01-24T10:40:19,2025-01-24T10:40:19,2025-01-24T10:40:47,2025-01-24T10:40:47,2025-01-24T10:43:58,2025-01-24T10:43:58,2025-01-24T10:44:03,3000,550,500,gp3,2025-01-24T10:44:04,STAR,2025-01-24T10:39:34
23,ERR3671311,heart_muscle,90.07,410926012,3436222438,532335341,111,14932640,8,r8g.2xlarge,single,i-0926837caeb8ecb25,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/heart_muscle/normalized_counts/ERR3671311_STAR_normalized_counts.tsv,2025-01-24T10:41:03,2025-01-24T10:41:17,2025-01-24T10:41:17,2025-01-24T10:41:24,2025-01-24T10:41:24,2025-01-24T10:42:03,2025-01-24T10:42:03,2025-01-24T10:42:08,3000,550,500,gp3,2025-01-24T10:42:09,STAR,2025-01-24T10:41:03
24,SRR4240822,heart_muscle,90.05,2554703581,16369328280,3828072833,111,31800345,8,r8g.2xlarge,paired,i-0719a4fc0491ec43d,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/heart_muscle/normalized_counts/SRR4240822_STAR_normalized_counts.tsv,2025-01-24T10:40:05,2025-01-24T10:41:22,2025-01-24T10:41:22,2025-01-24T10:42:11,2025-01-24T10:42:11,2025-01-24T10:44:55,2025-01-24T10:44:55,2025-01-24T10:45:00,3000,550,500,gp3,2025-01-24T10:45:01,STAR,2025-01-24T10:40:05
25,SRR12503616,heart_muscle,88.66,1720016748,13332049450,1980834881,111,41099010,8,r8g.2xlarge,single,i-0a97c8a0032919617,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/heart_muscle/normalized_counts/SRR12503616_STAR_normalized_counts.tsv,2025-01-24T10:44:56,2025-01-24T10:45:44,2025-01-24T10:45:44,2025-01-24T10:46:23,2025-01-24T10:46:23,2025-01-24T10:48:49,2025-01-24T10:48:49,2025-01-24T10:48:55,3000,550,500,gp3,2025-01-24T10:48:56,STAR,2025-01-24T10:44:56
26,SRR16145819,heart_muscle,88.55,2152535766,16629364226,2485133944,111,51246194,8,r8g.2xlarge,single,i-04d59139be7085dad,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/heart_muscle/normalized_counts/SRR16145819_STAR_normalized_counts.tsv,2025-01-24T10:47:24,2025-01-24T10:48:29,2025-01-24T10:48:29,2025-01-24T10:49:20,2025-01-24T10:49:20,2025-01-24T10:52:23,2025-01-24T10:52:23,2025-01-24T10:52:28,3000,550,500,gp3,2025-01-24T10:52:29,STAR,2025-01-24T10:47:24
27,SRR12495892,intestine,82.46,1981200625,15452537308,2290036290,111,20131381,8,r8g.2xlarge,paired,i-0719a4fc0491ec43d,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/intestine/normalized_counts/SRR12495892_STAR_normalized_counts.tsv,2025-01-24T10:54:37,2025-01-24T10:55:33,2025-01-24T10:55:33,2025-01-24T10:56:20,2025-01-24T10:56:20,2025-01-24T11:03:40,2025-01-24T11:03:40,2025-01-24T11:03:46,3000,550,500,gp3,2025-01-24T11:03:47,STAR,2025-01-24T10:54:37
28,SRR1220504,intestine,74.91,1360639506,6494987908,3039211168,111,9586715,8,r8g.2xlarge,paired,i-0719a4fc0491ec43d,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/intestine/normalized_counts/SRR1220504_STAR_normalized_counts.tsv,2025-01-24T10:32:10,2025-01-24T10:32:52,2025-01-24T10:32:52,2025-01-24T10:33:04,2025-01-24T10:33:04,2025-01-24T10:34:39,2025-01-24T10:34:39,2025-01-24T10:34:45,3000,550,500,gp3,2025-01-24T10:34:46,STAR,2025-01-24T10:32:10
29,SRR11245149,intestine,62.05,3886013024,17940220944,12465893409,111,50603525,8,r8g.2xlarge,single,i-0719a4fc0491ec43d,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/intestine/normalized_counts/SRR11245149_STAR_normalized_counts.tsv,2025-01-24T10:46:16,2025-01-24T10:48:00,2025-01-24T10:48:00,2025-01-24T10:48:55,2025-01-24T10:48:55,2025-01-24T10:54:28,2025-01-24T10:54:28,2025-01-24T10:54:34,3000,550,500,gp3,2025-01-24T10:54:35,STAR,2025-01-24T10:46:16
30,SRR10600396,intestine,8.42,11808688005,77111111184,18144259517,111,100000000,8,r8g.2xlarge,paired,i-064ee109540487468,EC2,s3://neardata-test-graviton/STAR/low_mapping_rate/intestine/normalized_counts/SRR10600396_STAR_normalized_counts.tsv,2025-01-24T10:47:29,2025-01-24T10:52:41,2025-01-24T10:52:41,2025-01-24T10:59:36,2025-01-24T10:59:36,2025-01-24T12:02:11,2025-01-24T12:02:11,2025-01-24T12:02:16,3000,550,500,gp3,2025-01-24T12:02:16,STAR,2025-01-24T10:47:29
