srr_id,size [B]
SRR8097377,983736183
SRR8097379,1034580113
SRR8097381,1484567513
SRR8097378,1346049027
SRR8129834,261355333
SRR8097382,627534476
SRR8129835,295168570
SRR8256072,129748838
SRR8256076,145462549
SRR8256075,167103190
SRR8097372,1126663013
SRR6879132,10216293276
SRR6879130,9333148856
SRR8256071,170235586
SRR8256083,163261154
SRR8256079,64630137
SRR8256074,167377290
SRR8256081,153829007
SRR6879133,10257951657
SRR8129833,283748893
SRR8256073,130073335
SRR8097374,551034348
SRR8192746,8679655218
SRR8256087,147665835
SRR8256086,148174890
SRR8097371,1035276323
SRR6879125,8970772904
SRR8256082,163325966
SRR6879127,10368224044
SRR8256088,144058875
SRR8192745,9747960237
SRR8256078,64036643
SRR8256080,153897931
SRR8097375,815957789
SRR8256085,141167194
SRR8256084,141218168
SRR6879134,8995876464
SRR8256077,145180963
SRR8256070,170423956
SRR8097380,1252100390
SRR8352351,1456262711
SRR8352352,2583107329
SRR8352357,1473650854
SRR8352360,1545471674
SRR8352350,2809221080
SRR8352354,1496778990
SRR8256089,143901024
SRR8352359,1558351197
SRR8352353,1458471962
SRR8352362,1438478190
SRR8352365,1323003600
SRR8352364,1347045461
SRR8352358,1418889243
SRR8352356,1434863419
SRR8352363,2386393098
SRR8352372,1397133642
SRR8352355,1519089086
SRR8352361,1393963022
SRR8352370,1540491113
SRR8352414,284419925
SRR8352368,2253970975
SRR8352416,294036425
SRR8352373,2506237296
SRR8352413,281410311
SRR8352415,292874903
SRR8352369,1355797811
SRR8352418,301201642
SRR8352371,1572042497
SRR8352417,296984628
SRR8352422,309832190
SRR8352421,308966728
SRR8352419,302588120
SRR8352427,319088414
SRR8352423,313346389
SRR8352426,310251329
SRR8352420,305768945
SRR8352430,285836582
SRR8352431,287862743
SRR8352433,321206411
SRR8352434,322117603
SRR8352432,290905554
SRR8352429,323374546
SRR8352428,320149269
SRR8352367,1356937628
SRR8352366,1308183568
SRR8352412,280429811
SRR8352425,306637064
SRR8352424,306142446
SRR8352435,325343774
SRR8352436,312980045
SRR8352445,321828853
SRR8352441,306832603
SRR8352438,317507456
SRR8352439,302479895
SRR8352442,300017536
SRR8352440,303656642
SRR8352444,304423986
SRR8352451,325716971
SRR8352454,324216569
SRR8352449,312809601
SRR8352447,326790016
SRR8352446,323135626
SRR8352437,314091280
SRR8358607,6798098205
SRR8352455,325594598
SRR8358605,7629908871
SRR8352453,330062651
SRR8358602,7596671037
SRR8358604,9660541358
SRR8358606,7889243777
SRR8352458,310533121
SRR8352448,311123876
SRR8352452,327102230
SRR8352443,301197870
SRR8352450,316934868
SRR8352459,313701445
SRR8358611,1192660005
SRR8358603,5188858993
SRR8358621,1369078216
SRR8358617,671505417
SRR8358620,1035194024
SRR8358615,1229189000
SRR8358626,1636654216
SRR8358619,657703196
SRR8358625,1677859198
