,SRR_id,tissue_name,salmon_mapping_rate [%],SRR_filesize_bytes,fastq_filesize_bytes,index_release,n_spots,nproc,instance_type,library_layout,instance_id,execution_mode,s3_path,prefetch_start_time,prefetch_end_time,fasterq_dump_start_time,fasterq_dump_end_time,salmon_start_time,salmon_end_time,deseq2_start_time,deseq2_end_time,EBS_Size,EBS_Iops,EBS_VolumeType,EBS_Throughput
32,SRR15269003,kidney_cells,89.6641,742089882,5432454912,111,7085083,8,c6a.2xlarge,paired,i-05a055b310e156a6b,EC2,s3://neardata-other/Salmon/high_mapping_rate/kidney_cells/normalized_counts/SRR15269003_salmon_normalized_counts.tsv,2024-05-14T10:18:58,2024-05-14T10:19:18,2024-05-14T10:19:18,2024-05-14T10:19:33,2024-05-14T10:19:33,2024-05-14T10:20:50,2024-05-14T10:20:50,2024-05-14T10:20:59,550,3000,gp3,500
33,SRR15269032,kidney_cells,84.0504,641019564,4908559872,111,6402928,8,c6a.2xlarge,paired,i-05a055b310e156a6b,EC2,s3://neardata-other/Salmon/high_mapping_rate/kidney_cells/normalized_counts/SRR15269032_salmon_normalized_counts.tsv,2024-05-14T10:21:01,2024-05-14T10:21:18,2024-05-14T10:21:18,2024-05-14T10:21:32,2024-05-14T10:21:32,2024-05-14T10:22:48,2024-05-14T10:22:48,2024-05-14T10:22:58,550,3000,gp3,500
34,ERR6212760,kidney_cells,80.2904,285614284,1979491578,111,2943007,8,c6a.2xlarge,paired,i-05a055b310e156a6b,EC2,s3://neardata-other/Salmon/high_mapping_rate/kidney_cells/normalized_counts/ERR6212760_salmon_normalized_counts.tsv,2024-05-14T10:25:02,2024-05-14T10:25:09,2024-05-14T10:25:09,2024-05-14T10:25:14,2024-05-14T10:25:14,2024-05-14T10:25:35,2024-05-14T10:25:35,2024-05-14T10:25:44,550,3000,gp3,500
35,SRR2895311,kidney_cells,71.3571,5364156270,51498502728,111,86956409,8,c6a.2xlarge,paired,i-035a7772fc8de98a1,EC2,s3://neardata-other/Salmon/high_mapping_rate/kidney_cells/normalized_counts/SRR2895311_salmon_normalized_counts.tsv,2024-05-14T10:14:56,2024-05-14T10:17:06,2024-05-14T10:17:06,2024-05-14T10:21:59,2024-05-14T10:21:59,2024-05-14T10:33:04,2024-05-14T10:33:04,2024-05-14T10:33:32,550,3000,gp3,500
36,SRR13444190,kidney_cells,52.8573,5254599524,41666530506,111,54210487,8,c6a.2xlarge,paired,i-09101895bf2603a32,EC2,s3://neardata-other/Salmon/high_mapping_rate/kidney_cells/normalized_counts/SRR13444190_salmon_normalized_counts.tsv,2024-05-14T10:22:29,2024-05-14T10:24:24,2024-05-14T10:24:24,2024-05-14T10:28:09,2024-05-14T10:28:09,2024-05-14T10:40:05,2024-05-14T10:40:05,2024-05-14T10:40:15,550,3000,gp3,500
37,SRR11476811,lymphoid_tissue,80.2173,2035144983,16879329712,111,21866261,8,c6a.2xlarge,paired,i-028dbe724e88d8ce4,EC2,s3://neardata-other/Salmon/high_mapping_rate/lymphoid_tissue/normalized_counts/SRR11476811_salmon_normalized_counts.tsv,2024-05-14T10:21:30,2024-05-14T10:22:18,2024-05-14T10:22:18,2024-05-14T10:23:40,2024-05-14T10:23:40,2024-05-14T10:27:58,2024-05-14T10:27:58,2024-05-14T10:28:08,550,3000,gp3,500
38,SRR17010969,lymphoid_tissue,79.7525,2747624855,17412527292,111,23830171,8,c6a.2xlarge,paired,i-0ee77e93340489c99,EC2,s3://neardata-other/Salmon/high_mapping_rate/lymphoid_tissue/normalized_counts/SRR17010969_salmon_normalized_counts.tsv,2024-05-14T10:14:56,2024-05-14T10:16:11,2024-05-14T10:16:11,2024-05-14T10:17:48,2024-05-14T10:17:48,2024-05-14T10:23:35,2024-05-14T10:23:35,2024-05-14T10:23:56,550,3000,gp3,500
39,SRR11476774,lymphoid_tissue,59.9644,1845113197,15122198768,111,19601917,8,c6a.2xlarge,paired,i-0696009b3c626edb1,EC2,s3://neardata-other/Salmon/high_mapping_rate/lymphoid_tissue/normalized_counts/SRR11476774_salmon_normalized_counts.tsv,2024-05-14T10:22:29,2024-05-14T10:22:55,2024-05-14T10:22:55,2024-05-14T10:24:05,2024-05-14T10:24:05,2024-05-14T10:28:03,2024-05-14T10:28:03,2024-05-14T10:28:13,550,3000,gp3,500
40,SRR9861664,nervous_cells,89.477,2670462437,19123935620,111,41598083,8,c6a.2xlarge,paired,i-0d14a98b4ce01c626,EC2,s3://neardata-other/Salmon/high_mapping_rate/nervous_cells/normalized_counts/SRR9861664_salmon_normalized_counts.tsv,2024-05-14T10:19:13,2024-05-14T10:20:11,2024-05-14T10:20:11,2024-05-14T10:21:50,2024-05-14T10:21:50,2024-05-14T10:26:04,2024-05-14T10:26:04,2024-05-14T10:26:14,550,3000,gp3,500
41,ERR2704987,nervous_cells,67.4795,246837660,1762528280,111,7720292,8,c6a.2xlarge,single,i-05a055b310e156a6b,EC2,s3://neardata-other/Salmon/high_mapping_rate/nervous_cells/normalized_counts/ERR2704987_salmon_normalized_counts.tsv,2024-05-14T10:22:59,2024-05-14T10:23:05,2024-05-14T10:23:05,2024-05-14T10:23:10,2024-05-14T10:23:10,2024-05-14T10:24:52,2024-05-14T10:24:52,2024-05-14T10:25:01,550,3000,gp3,500
42,ERR4318992,nervous_cells,66.1926,237357296,1651147620,111,7233452,8,c6a.2xlarge,single,i-028dbe724e88d8ce4,EC2,s3://neardata-other/Salmon/high_mapping_rate/nervous_cells/normalized_counts/ERR4318992_salmon_normalized_counts.tsv,2024-05-14T10:28:11,2024-05-14T10:28:16,2024-05-14T10:28:16,2024-05-14T10:28:21,2024-05-14T10:28:21,2024-05-14T10:30:00,2024-05-14T10:30:00,2024-05-14T10:30:09,550,3000,gp3,500
43,SRR12564326,nervous_cells,55.118,3309775028,16469889392,111,50423848,8,c6a.2xlarge,single,i-09416a3b103992a92,EC2,s3://neardata-other/Salmon/high_mapping_rate/nervous_cells/normalized_counts/SRR12564326_salmon_normalized_counts.tsv,2024-05-14T10:17:49,2024-05-14T10:19:05,2024-05-14T10:19:05,2024-05-14T10:20:40,2024-05-14T10:20:40,2024-05-14T10:32:19,2024-05-14T10:32:19,2024-05-14T10:32:29,550,3000,gp3,500
44,SRR12564321,nervous_cells,54.3476,3468073785,17452123142,111,53426602,8,c6a.2xlarge,single,i-06ce30a687528bdaf,EC2,s3://neardata-other/Salmon/high_mapping_rate/nervous_cells/normalized_counts/SRR12564321_salmon_normalized_counts.tsv,2024-05-14T10:19:53,2024-05-14T10:21:14,2024-05-14T10:21:14,2024-05-14T10:23:04,2024-05-14T10:23:04,2024-05-14T10:35:09,2024-05-14T10:35:09,2024-05-14T10:35:19,550,3000,gp3,500
45,SRR12520097,nervous_cells,43.5808,2039467098,10980000668,111,32264740,8,c6a.2xlarge,single,i-0d14a98b4ce01c626,EC2,s3://neardata-other/Salmon/high_mapping_rate/nervous_cells/normalized_counts/SRR12520097_salmon_normalized_counts.tsv,2024-05-14T10:26:17,2024-05-14T10:27:03,2024-05-14T10:27:03,2024-05-14T10:27:39,2024-05-14T10:27:39,2024-05-14T11:01:11,2024-05-14T11:01:11,2024-05-14T11:01:21,550,3000,gp3,500
46,SRR9192586,ovarian_cells,31.0281,4533144880,33673177884,111,72586257,8,c6a.2xlarge,paired,i-034c04be45ce8af62,EC2,s3://neardata-other/Salmon/high_mapping_rate/ovarian_cells/normalized_counts/SRR9192586_salmon_normalized_counts.tsv,2024-05-14T10:22:55,2024-05-14T10:24:10,2024-05-14T10:24:10,2024-05-14T10:27:11,2024-05-14T10:27:11,2024-05-14T10:38:13,2024-05-14T10:38:13,2024-05-14T10:38:23,550,3000,gp3,500
47,SRR22229936,prostate_tissue,78.1979,233512359,2449233886,111,8215687,8,c6a.2xlarge,single,i-0696009b3c626edb1,EC2,s3://neardata-other/Salmon/high_mapping_rate/prostate_tissue/normalized_counts/SRR22229936_salmon_normalized_counts.tsv,2024-05-14T10:28:16,2024-05-14T10:28:21,2024-05-14T10:28:21,2024-05-14T10:28:27,2024-05-14T10:28:27,2024-05-14T10:29:43,2024-05-14T10:29:43,2024-05-14T10:29:53,550,3000,gp3,500
48,SRR1503857,prostate_tissue,73.2077,803243777,6725496356,111,27100725,8,c6a.2xlarge,single,i-05a055b310e156a6b,EC2,s3://neardata-other/Salmon/high_mapping_rate/prostate_tissue/normalized_counts/SRR1503857_salmon_normalized_counts.tsv,2024-05-14T10:25:45,2024-05-14T10:26:04,2024-05-14T10:26:04,2024-05-14T10:26:24,2024-05-14T10:26:24,2024-05-14T10:29:14,2024-05-14T10:29:14,2024-05-14T10:29:23,550,3000,gp3,500
49,SRR1260106,prostate_tissue,66.8353,469157628,3471696290,111,14414434,8,c6a.2xlarge,single,i-05a055b310e156a6b,EC2,s3://neardata-other/Salmon/high_mapping_rate/prostate_tissue/normalized_counts/SRR1260106_salmon_normalized_counts.tsv,2024-05-14T10:29:25,2024-05-14T10:29:36,2024-05-14T10:29:36,2024-05-14T10:29:44,2024-05-14T10:29:44,2024-05-14T10:32:12,2024-05-14T10:32:12,2024-05-14T10:32:21,550,3000,gp3,500
